Time, Value
17:38:29, 473
17:38:29, 484
17:38:29, 496
17:38:29, 461
17:38:29, 420
17:38:29, 410
17:38:29, 444
17:38:29, 465
17:38:29, 450
17:38:29, 433
17:38:29, 412
17:38:29, 385
17:38:29, 361
17:38:29, 372
17:38:29, 394
17:38:29, 405
17:38:29, 405
17:38:29, 386
17:38:29, 348
17:38:29, 322
17:38:29, 313
17:38:29, 315
17:38:29, 280
17:38:29, 183
17:38:29, 80
17:38:29, 66
17:38:29, 115
17:38:29, 114
17:38:29, 66
17:38:29, 34
17:38:29, 27
17:38:29, 80
17:38:29, 108
17:38:29, 76
17:38:29, 35
17:38:29, 4
17:38:29, -10
17:38:29, -38
17:38:29, -100
17:38:29, -158
17:38:29, -173
17:38:29, -179
17:38:29, -184
17:38:29, -195
17:38:29, -225
17:38:29, -235
17:38:29, -206
17:38:29, -180
17:38:29, -200
17:38:29, -236
17:38:29, -231
17:38:29, -209
17:38:29, -204
17:38:29, -230
17:38:29, -253
17:38:29, -281
17:38:29, -311
17:38:29, -329
17:38:29, -365
17:38:29, -420
17:38:29, -376
17:38:29, -266
17:38:29, -219
17:38:29, -257
17:38:29, -285
17:38:29, -274
17:38:29, -235
17:38:29, -172
17:38:29, -124
17:38:29, -110
17:38:29, -118
17:38:29, -105
17:38:29, -68
17:38:29, -35
17:38:29, -37
17:38:29, -56
17:38:29, -66
17:38:29, -53
17:38:29, -35
17:38:29, -29
17:38:29, -50
17:38:29, -84
17:38:29, -76
17:38:29, -18
17:38:29, 28
17:38:29, 25
17:38:29, -9
17:38:29, -65
17:38:29, -108
17:38:29, -132
17:38:29, -129
17:38:29, -104
17:38:29, -93
17:38:29, -107
17:38:29, -126
17:38:29, -151
17:38:29, -190
17:38:29, -212
17:38:29, -198
17:38:29, -180
17:38:29, -200
17:38:29, -248
17:38:29, -277
17:38:29, -293
17:38:29, -317
17:38:29, -347
17:38:29, -374
17:38:29, -401
17:38:29, -423
17:38:29, -469
17:38:29, -490
17:38:29, -459
17:38:29, -430
17:38:29, -461
17:38:29, -524
17:38:29, -567
17:38:29, -549
17:38:29, -481
17:38:29, -409
17:38:29, -395
17:38:29, -429
17:38:29, -466
17:38:29, -490
17:38:29, -490
17:38:29, -476
17:38:29, -490
17:38:29, -526
17:38:29, -541
17:38:29, -506
17:38:29, -476
17:38:29, -474
17:38:29, -482
17:38:29, -483
17:38:29, -487
17:38:29, -490
17:38:29, -501
17:38:29, -525
17:38:29, -537
17:38:29, -550
17:38:29, -551
17:38:29, -541
17:38:29, -563
17:38:29, -616
17:38:29, -599
17:38:29, -514
17:38:29, -442
17:38:29, -412
17:38:29, -425
17:38:29, -456
17:38:29, -473
17:38:29, -471
17:38:29, -423
17:38:29, -343
17:38:29, -301
17:38:29, -293
17:38:29, -284
17:38:29, -270
17:38:29, -264
17:38:29, -237
17:38:29, -186
17:38:29, -174
17:38:29, -180
17:38:29, -194
17:38:29, -218
17:38:29, -202
17:38:29, -125
17:38:29, -43
17:38:29, -8
17:38:29, 35
17:38:29, 119
17:38:29, 183
17:38:29, 211
17:38:29, 225
17:38:29, 242
17:38:29, 282
17:38:29, 325
17:38:29, 308
17:38:29, 281
17:38:29, 308
17:38:29, 361
17:38:29, 407
17:38:29, 413
17:38:29, 465
17:38:29, 521
17:38:29, 535
17:38:29, 564
17:38:29, 612
17:38:29, 662
17:38:29, 698
17:38:29, 705
17:38:29, 691
17:38:29, 688
17:38:29, 698
17:38:29, 696
17:38:29, 706
17:38:29, 748
17:38:29, 781
17:38:29, 748
17:38:29, 684
17:38:29, 669
17:38:29, 677
17:38:29, 659
17:38:29, 630
17:38:29, 632
17:38:29, 641
17:38:29, 625
17:38:29, 601
17:38:29, 552
17:38:29, 505
17:38:29, 539
17:38:29, 596
17:38:29, 581
17:38:29, 521
17:38:29, 471
17:38:29, 409
17:38:29, 373
17:38:29, 386
17:38:29, 358
17:38:29, 268
17:38:29, 163
17:38:29, 119
17:38:29, 136
17:38:29, 119
17:38:29, 65
17:38:29, 21
17:38:29, 21
17:38:29, 27
17:38:29, -17
17:38:29, -107
17:38:29, -167
17:38:29, -168
17:38:29, -156
17:38:29, -141
17:38:29, -101
17:38:29, -67
17:38:29, -49
17:38:29, -19
17:38:29, 6
17:38:29, 21
17:38:29, 33
17:38:29, 37
17:38:29, 27
17:38:29, -2
17:38:29, -33
17:38:29, -66
17:38:29, -86
17:38:29, -81
17:38:29, -57
17:38:29, -66
17:38:29, -98
17:38:29, -139
17:38:29, -154
17:38:29, -121
17:38:29, -86
17:38:29, -108
17:38:29, -164
17:38:29, -125
17:38:29, -6
17:38:29, 72
17:38:29, 71
17:38:29, 65
17:38:29, 114
17:38:29, 196
17:38:29, 261
17:38:30, 283
17:38:30, 275
17:38:30, 279
17:38:30, 312
17:38:30, 336
17:38:30, 370
17:38:30, 425
17:38:30, 488
17:38:30, 529
17:38:30, 539
17:38:30, 556
17:38:30, 608
17:38:30, 665
17:38:30, 726
17:38:30, 790
17:38:30, 844
17:38:30, 867
17:38:30, 856
17:38:30, 837
17:38:30, 833
17:38:30, 832
17:38:30, 838
17:38:30, 844
17:38:30, 838
17:38:30, 850
17:38:30, 853
17:38:30, 827
17:38:30, 802
17:38:30, 791
17:38:30, 800
17:38:30, 806
17:38:30, 806
17:38:30, 794
17:38:30, 770
17:38:30, 740
17:38:30, 712
17:38:30, 689
17:38:30, 673
17:38:30, 658
17:38:30, 643
17:38:30, 620
17:38:30, 576
17:38:30, 546
17:38:30, 553
17:38:30, 547
17:38:30, 499
17:38:30, 457
17:38:30, 452
17:38:30, 455
17:38:30, 440
17:38:30, 417
17:38:30, 386
17:38:30, 356
17:38:30, 332
17:38:30, 315
17:38:30, 298
17:38:30, 278
17:38:30, 244
17:38:30, 209
17:38:30, 181
17:38:30, 152
17:38:30, 113
17:38:30, 48
17:38:30, -3
17:38:30, 13
17:38:30, 55
17:38:30, 56
17:38:30, 11
17:38:30, -33
17:38:30, -85
17:38:30, -124
17:38:30, -92
17:38:30, -45
17:38:30, -72
17:38:30, -155
17:38:30, -227
17:38:30, -214
17:38:30, -162
17:38:30, -148
17:38:30, -197
17:38:30, -253
17:38:30, -262
17:38:30, -230
17:38:30, -221
17:38:30, -236
17:38:30, -247
17:38:30, -264
17:38:30, -316
17:38:30, -350
17:38:30, -332
17:38:30, -290
17:38:30, -264
17:38:30, -269
17:38:30, -302
17:38:30, -329
17:38:30, -329
17:38:30, -337
17:38:30, -328
17:38:30, -310
17:38:30, -325
17:38:30, -326
17:38:30, -286
17:38:30, -265
17:38:30, -307
17:38:30, -361
17:38:30, -385
17:38:30, -377
17:38:30, -361
17:38:30, -343
17:38:30, -331
17:38:30, -332
17:38:30, -341
17:38:30, -332
17:38:30, -338
17:38:30, -361
17:38:30, -378
17:38:30, -334
17:38:30, -258
17:38:30, -220
17:38:30, -250
17:38:30, -290
17:38:30, -322
17:38:30, -356
17:38:30, -334
17:38:30, -266
17:38:30, -231
17:38:30, -243
17:38:30, -283
17:38:30, -342
17:38:30, -379
17:38:30, -373
17:38:30, -371
17:38:30, -341
17:38:30, -308
17:38:30, -346
17:38:30, -426
17:38:30, -458
17:38:30, -411
17:38:30, -361
17:38:30, -369
17:38:30, -393
17:38:30, -387
17:38:30, -366
17:38:30, -376
17:38:30, -391
17:38:30, -389
17:38:30, -380
17:38:30, -385
17:38:30, -435
17:38:30, -461
17:38:30, -407
17:38:30, -333
17:38:30, -314
17:38:30, -348
17:38:30, -376
17:38:30, -366
17:38:30, -343
17:38:30, -330
17:38:30, -337
17:38:30, -334
17:38:30, -294
17:38:30, -244
17:38:30, -206
17:38:30, -218
17:38:30, -264
17:38:30, -302
17:38:30, -305
17:38:30, -264
17:38:30, -249
17:38:30, -268
17:38:30, -279
17:38:30, -261
17:38:30, -245
17:38:30, -248
17:38:30, -245
17:38:30, -242
17:38:30, -258
17:38:30, -273
17:38:30, -261
17:38:30, -220
17:38:30, -189
17:38:30, -185
17:38:30, -188
17:38:30, -215
17:38:30, -244
17:38:30, -251
17:38:30, -242
17:38:30, -228
17:38:30, -218
17:38:30, -194
17:38:30, -161
17:38:30, -141
17:38:30, -158
17:38:30, -162
17:38:30, -131
17:38:30, -105
17:38:30, -91
17:38:30, -86
17:38:30, -88
17:38:30, -90
17:38:30, -91
17:38:30, -75
17:38:30, -71
17:38:30, -108
17:38:30, -116
17:38:30, -85
17:38:30, -65
17:38:30, -41
17:38:30, -29
17:38:30, -22
17:38:30, -11
17:38:30, 4
17:38:30, 11
17:38:30, 26
17:38:30, 52
17:38:30, 81
17:38:30, 92
17:38:30, 88
17:38:30, 89
17:38:30, 104
17:38:30, 106
17:38:30, 97
17:38:30, 86
17:38:30, 70
17:38:30, 57
17:38:30, 87
17:38:30, 146
17:38:30, 176
17:38:30, 160
17:38:30, 133
17:38:30, 109
17:38:30, 115
17:38:30, 153
17:38:30, 182
17:38:30, 169
17:38:30, 131
17:38:30, 113
17:38:30, 131
17:38:30, 151
17:38:30, 156
17:38:30, 168
17:38:30, 176
17:38:30, 201
17:38:30, 281
17:38:30, 345
17:38:30, 349
17:38:30, 341
17:38:30, 342
17:38:30, 347
17:38:30, 354
17:38:30, 372
17:38:30, 424
17:38:30, 453
17:38:30, 434
17:38:30, 423
17:38:30, 487
17:38:30, 570
17:38:30, 635
17:38:30, 672
17:38:30, 700
17:38:30, 740
17:38:30, 792
17:38:30, 832
17:38:30, 816
17:38:30, 775
17:38:30, 761
17:38:30, 754
17:38:30, 732
17:38:30, 696
17:38:30, 653
17:38:30, 632
17:38:30, 616
17:38:30, 585
17:38:30, 520
17:38:30, 459
17:38:30, 408
17:38:30, 360
17:38:30, 343
17:38:30, 337
17:38:30, 321
17:38:30, 292
17:38:30, 276
17:38:30, 275
17:38:30, 261
17:38:30, 218
17:38:30, 197
17:38:30, 192
17:38:30, 167
17:38:30, 118
17:38:30, 39
17:38:30, -25
17:38:30, -45
17:38:30, -21
17:38:30, 7
17:38:30, -9
17:38:30, -62
17:38:30, -97
17:38:30, -88
17:38:30, -102
17:38:30, -150
17:38:30, -184
17:38:30, -190
17:38:30, -214
17:38:30, -247
17:38:30, -262
17:38:30, -274
17:38:30, -289
17:38:30, -282
17:38:30, -282
17:38:30, -313
17:38:30, -341
17:38:30, -342
17:38:30, -358
17:38:30, -401
17:38:30, -421
17:38:30, -437
17:38:30, -460
17:38:30, -468
17:38:30, -454
17:38:30, -458
17:38:30, -466
17:38:30, -474
17:38:30, -475
17:38:30, -469
17:38:30, -455
17:38:30, -429
17:38:30, -440
17:38:30, -456
17:38:30, -452
17:38:30, -427
17:38:30, -406
17:38:30, -397
17:38:30, -379
17:38:30, -346
17:38:30, -330
17:38:30, -344
17:38:30, -363
17:38:30, -373
17:38:30, -375
17:38:30, -387
17:38:30, -394
17:38:30, -402
17:38:30, -413
17:38:30, -419
17:38:30, -410
17:38:30, -394
17:38:30, -371
17:38:30, -355
17:38:30, -316
17:38:30, -283
17:38:30, -278
17:38:30, -297
17:38:30, -337
17:38:30, -371
17:38:30, -378
17:38:30, -365
17:38:30, -353
17:38:30, -360
17:38:30, -376
17:38:30, -376
17:38:30, -364
17:38:30, -350
17:38:30, -328
17:38:30, -311
17:38:30, -325
17:38:30, -340
17:38:30, -355
17:38:30, -370
17:38:30, -353
17:38:30, -297
17:38:30, -258
17:38:30, -226
17:38:30, -198
17:38:30, -178
17:38:30, -167
17:38:30, -182
17:38:30, -202
17:38:30, -188
17:38:30, -166
17:38:30, -161
17:38:30, -178
17:38:30, -190
17:38:30, -198
17:38:30, -190
17:38:30, -172
17:38:30, -156
17:38:30, -152
17:38:30, -146
17:38:30, -132
17:38:30, -141
17:38:30, -151
17:38:30, -149
17:38:30, -147
17:38:30, -138
17:38:30, -141
17:38:30, -141
17:38:30, -135
17:38:30, -130
17:38:30, -121
17:38:30, -121
17:38:30, -119
17:38:30, -105
17:38:30, -88
17:38:30, -89
17:38:30, -99
17:38:30, -93
17:38:30, -84
17:38:30, -68
17:38:30, -72
17:38:30, -130
17:38:30, -153
17:38:30, -135
17:38:30, -140
17:38:30, -137
17:38:30, -121
17:38:30, -146
17:38:30, -196
17:38:30, -169
17:38:30, -108
17:38:30, -84
17:38:30, -87
17:38:30, -75
17:38:30, -51
17:38:30, -67
17:38:30, -109
17:38:30, -124
17:38:30, -88
17:38:30, -46
17:38:30, -27
17:38:30, -34
17:38:30, -53
17:38:30, -71
17:38:30, -85
17:38:30, -77
17:38:30, -50
17:38:30, -8
17:38:30, 20
17:38:30, 11
17:38:30, -7
17:38:30, -13
17:38:30, 3
17:38:30, 77
17:38:30, 145
17:38:30, 114
17:38:30, 53
17:38:30, 59
17:38:30, 100
17:38:30, 116
17:38:30, 101
17:38:30, 65
17:38:30, 54
17:38:30, 83
17:38:30, 101
17:38:30, 70
17:38:30, 20
17:38:30, -2
17:38:30, 42
17:38:30, 89
17:38:30, 100
17:38:30, 70
17:38:30, 19
17:38:30, -11
17:38:30, 19
17:38:30, 74
17:38:30, 85
17:38:30, 69
17:38:30, 67
17:38:30, 66
17:38:31, 39
17:38:31, -8
17:38:31, -43
17:38:31, -75
17:38:31, -109
17:38:31, -103
17:38:31, -78
17:38:31, -89
17:38:31, -106
17:38:31, -62
17:38:31, -8
17:38:31, 0
17:38:31, 0
17:38:31, 1
17:38:31, -5
17:38:31, 22
17:38:31, 38
17:38:31, 22
17:38:31, -26
17:38:31, -83
17:38:31, -84
17:38:31, -34
17:38:31, 9
17:38:31, -10
17:38:31, -68
17:38:31, -87
17:38:31, -29
17:38:31, 27
17:38:31, 58
17:38:31, 55
17:38:31, 36
17:38:31, 13
17:38:31, -3
17:38:31, -53
17:38:31, -104
17:38:31, -77
17:38:31, -40
17:38:31, -69
17:38:31, -131
17:38:31, -167
17:38:31, -177
17:38:31, -156
17:38:31, -90
17:38:31, -58
17:38:31, -82
17:38:31, -99
17:38:31, -113
17:38:31, -135
17:38:31, -150
17:38:31, -149
17:38:31, -123
17:38:31, -104
17:38:31, -113
17:38:31, -145
17:38:31, -156
17:38:31, -137
17:38:31, -110
17:38:31, -105
17:38:31, -137
17:38:31, -152
17:38:31, -145
17:38:31, -122
17:38:31, -133
17:38:31, -163
17:38:31, -189
17:38:31, -206
17:38:31, -198
17:38:31, -194
17:38:31, -221
17:38:31, -264
17:38:31, -284
17:38:31, -252
17:38:31, -200
17:38:31, -168
17:38:31, -156
17:38:31, -132
17:38:31, -75
17:38:31, -27
17:38:31, -3
17:38:31, -23
17:38:31, -22
17:38:31, -5
17:38:31, -25
17:38:31, -51
17:38:31, -74
17:38:31, -68
17:38:31, -25
17:38:31, -5
17:38:31, -7
17:38:31, -36
17:38:31, -73
17:38:31, -81
17:38:31, -49
17:38:31, -28
17:38:31, -37
17:38:31, -68
17:38:31, -98
17:38:31, -109
17:38:31, -108
17:38:31, -86
17:38:31, -28
17:38:31, 17
17:38:31, -3
17:38:31, -72
17:38:31, -113
17:38:31, -121
17:38:31, -115
17:38:31, -75
17:38:31, -27
17:38:31, 20
17:38:31, 41
17:38:31, 48
17:38:31, 23
17:38:31, -18
17:38:31, -22
17:38:31, -3
17:38:31, 3
17:38:31, -1
17:38:31, -10
17:38:31, 2
17:38:31, 51
17:38:31, 100
17:38:31, 124
17:38:31, 128
17:38:31, 108
17:38:31, 96
17:38:31, 89
17:38:31, 92
17:38:31, 107
17:38:31, 112
17:38:31, 82
17:38:31, 56
17:38:31, 86
17:38:31, 129
17:38:31, 171
17:38:31, 212
17:38:31, 208
17:38:31, 195
17:38:31, 193
17:38:31, 200
17:38:31, 197
17:38:31, 146
17:38:31, 112
17:38:31, 134
17:38:31, 183
17:38:31, 215
17:38:31, 210
17:38:31, 219
17:38:31, 252
17:38:31, 291
17:38:31, 322
17:38:31, 340
17:38:31, 362
17:38:31, 371
17:38:31, 377
17:38:31, 373
17:38:31, 371
17:38:31, 390
17:38:31, 400
17:38:31, 387
17:38:31, 380
17:38:31, 392
17:38:31, 426
17:38:31, 459
17:38:31, 474
17:38:31, 461
17:38:31, 400
17:38:31, 315
17:38:31, 305
17:38:31, 323
17:38:31, 294
17:38:31, 244
17:38:31, 202
17:38:31, 192
17:38:31, 230
17:38:31, 291
17:38:31, 344
17:38:31, 377
17:38:31, 394
17:38:31, 428
17:38:31, 480
17:38:31, 497
17:38:31, 484
17:38:31, 482
17:38:31, 507
17:38:31, 546
17:38:31, 565
17:38:31, 577
17:38:31, 584
17:38:31, 613
17:38:31, 658
17:38:31, 677
17:38:31, 659
17:38:31, 617
17:38:31, 620
17:38:31, 674
17:38:31, 712
17:38:31, 704
17:38:31, 701
17:38:31, 758
17:38:31, 844
