Time, Value
16:55:56, -18
16:55:56, -24
16:55:56, -20
16:55:56, 11
16:55:56, 42
16:55:56, 81
16:55:56, 74
16:55:56, 36
16:55:56, 33
16:55:56, 36
16:55:56, 25
16:55:56, 7
16:55:56, 7
16:55:56, 67
16:55:56, 167
16:55:56, 208
16:55:56, 173
16:55:56, 118
16:55:56, 125
16:55:56, 188
16:55:56, 237
16:55:56, 249
16:55:56, 224
16:55:56, 216
16:55:56, 227
16:55:56, 249
16:55:56, 260
16:55:56, 236
16:55:56, 232
16:55:56, 297
16:55:56, 330
16:55:56, 253
16:55:56, 156
16:55:56, 148
16:55:56, 181
16:55:56, 195
16:55:56, 170
16:55:57, 216
16:55:57, 244
16:55:57, 225
16:55:57, 188
16:55:57, 173
16:55:57, 205
16:55:57, 257
16:55:57, 247
16:55:57, 237
16:55:57, 267
16:55:57, 263
16:55:57, 203
16:55:57, 124
16:55:57, 66
16:55:57, 49
16:55:57, 70
16:55:57, 77
16:55:57, 70
16:55:57, -3
16:55:57, -49
16:55:57, -39
16:55:57, -20
16:55:57, 9
16:55:57, 11
16:55:57, -8
16:55:57, -67
16:55:57, -137
16:55:57, -179
16:55:57, -174
16:55:57, -162
16:55:57, -135
16:55:57, -151
16:55:57, -171
16:55:57, -147
16:55:57, -102
16:55:57, -61
16:55:57, -85
16:55:57, -138
16:55:57, -109
16:55:57, -22
16:55:57, 58
16:55:57, 76
16:55:57, 50
16:55:57, 40
16:55:57, 83
16:55:57, 67
16:55:57, 32
16:55:57, 57
16:55:57, 67
16:55:57, 71
16:55:57, 154
16:55:57, 242
16:55:57, 280
16:55:57, 274
16:55:57, 236
16:55:57, 188
16:55:57, 184
16:55:57, 215
16:55:57, 246
16:55:57, 266
16:55:57, 237
16:55:57, 217
16:55:57, 258
16:55:57, 314
16:55:57, 328
16:55:57, 331
16:55:57, 317
16:55:57, 300
16:55:57, 322
16:55:57, 315
16:55:57, 336
16:55:57, 376
16:55:57, 397
16:55:57, 408
16:55:57, 426
16:55:57, 429
16:55:57, 410
16:55:57, 372
16:55:57, 348
16:55:57, 368
16:55:57, 439
16:55:57, 482
16:55:57, 459
16:55:57, 409
16:55:57, 404
16:55:57, 432
16:55:57, 419
16:55:57, 363
16:55:57, 327
16:55:57, 326
16:55:57, 326
16:55:57, 297
16:55:57, 275
16:55:57, 268
16:55:57, 260
16:55:57, 273
16:55:57, 297
16:55:57, 256
16:55:57, 187
16:55:57, 140
16:55:57, 123
16:55:57, 109
16:55:57, 105
16:55:57, 108
16:55:57, 73
16:55:57, 50
16:55:57, 65
16:55:57, 72
16:55:57, 72
16:55:57, 100
16:55:57, 125
16:55:57, 129
16:55:57, 85
16:55:57, 1
16:55:57, -10
16:55:57, 42
16:55:57, 58
16:55:57, 20
16:55:57, -18
16:55:57, -23
16:55:57, -13
16:55:57, -4
16:55:57, 24
16:55:57, 37
16:55:57, 21
16:55:57, 38
16:55:57, 54
16:55:57, 0
16:55:57, -40
16:55:57, -25
16:55:57, -11
16:55:57, -41
16:55:57, -73
16:55:57, -90
16:55:57, -56
16:55:57, -24
16:55:57, 16
16:55:57, 68
16:55:57, 58
