Time, Value
14:03:32, 28
14:03:32, 57
14:03:32, 22
14:03:32, -42
14:03:32, -40
14:03:32, 25
14:03:32, 56
14:03:32, 54
14:03:32, 40
14:03:32, 6
14:03:32, -17
14:03:32, -5
14:03:32, 4
14:03:32, -26
14:03:32, -67
14:03:32, -54
14:03:32, 3
14:03:32, 36
14:03:32, 24
14:03:32, 11
14:03:32, 25
14:03:32, 52
14:03:32, 75
14:03:32, 73
14:03:32, 51
14:03:32, 42
14:03:32, 51
14:03:32, 54
14:03:32, 33
14:03:32, 6
14:03:32, 27
14:03:32, 66
14:03:32, 60
14:03:32, 32
14:03:32, -3
14:03:32, -23
14:03:32, 5
14:03:32, 67
14:03:32, 74
14:03:32, 25
14:03:32, 2
14:03:32, 52
14:03:32, 124
14:03:32, 150
14:03:32, 121
14:03:32, 84
14:03:32, 58
14:03:32, 49
14:03:32, 44
14:03:32, 42
14:03:32, 35
14:03:32, 33
14:03:32, 36
14:03:32, 39
14:03:32, 33
14:03:32, 32
14:03:32, 60
14:03:32, 86
14:03:32, 60
14:03:32, 12
14:03:32, -6
14:03:32, 19
14:03:32, 52
14:03:32, 55
14:03:32, 49
14:03:32, 44
14:03:32, 39
14:03:32, 61
14:03:32, 100
14:03:32, 99
14:03:32, 67
14:03:32, 54
14:03:32, 74
14:03:32, 89
14:03:32, 67
14:03:32, 36
14:03:32, 40
14:03:32, 71
14:03:32, 91
14:03:32, 75
14:03:32, 34
14:03:32, 3
14:03:32, 6
14:03:32, 27
14:03:32, 50
14:03:32, 28
14:03:32, -4
14:03:32, 22
14:03:32, 84
14:03:32, 101
14:03:32, 66
14:03:32, 25
14:03:32, 38
14:03:32, 92
14:03:32, 136
14:03:32, 139
14:03:32, 105
14:03:32, 73
14:03:32, 66
14:03:32, 80
14:03:32, 71
14:03:32, 29
14:03:32, 22
14:03:32, 72
14:03:32, 121
14:03:32, 114
14:03:32, 58
14:03:32, 4
14:03:32, -20
14:03:32, -20
14:03:32, -26
14:03:32, -33
14:03:32, -23
14:03:32, 3
14:03:32, 39
14:03:32, 41
14:03:32, 16
14:03:32, -2
14:03:32, 11
14:03:32, 33
14:03:32, 32
14:03:32, 34
14:03:32, 59
14:03:32, 91
14:03:32, 105
14:03:32, 92
14:03:32, 82
14:03:32, 92
14:03:32, 115
14:03:32, 128
14:03:32, 108
14:03:32, 75
14:03:32, 54
14:03:32, 42
14:03:32, 54
14:03:32, 66
14:03:32, 53
14:03:32, 22
14:03:32, 11
14:03:32, 68
14:03:32, 119
14:03:32, 91
14:03:32, 23
14:03:32, -25
14:03:32, -28
14:03:32, 7
14:03:32, 8
14:03:32, -50
14:03:32, -99
14:03:32, -68
14:03:32, 1
14:03:32, 41
14:03:32, 48
14:03:32, 37
14:03:32, 53
14:03:32, 75
14:03:32, 52
14:03:32, -21
14:03:32, -57
14:03:32, -5
14:03:32, 80
14:03:32, 112
14:03:32, 86
14:03:32, 89
14:03:32, 136
14:03:32, 177
14:03:32, 165
14:03:32, 122
14:03:32, 105
14:03:32, 97
14:03:32, 71
14:03:32, 38
14:03:32, -12
14:03:32, -54
14:03:32, -58
14:03:32, -7
14:03:32, 89
14:03:32, 140
14:03:32, 118
14:03:32, 84
14:03:32, 83
14:03:32, 85
14:03:32, 65
14:03:32, 40
14:03:32, 10
14:03:32, -21
14:03:32, -13
14:03:32, 3
14:03:32, 9
14:03:32, 27
14:03:32, 60
14:03:32, 99
14:03:32, 116
14:03:32, 103
14:03:32, 60
14:03:32, 32
14:03:32, 51
14:03:32, 80
14:03:32, 69
14:03:32, 37
14:03:32, 7
14:03:32, 9
14:03:32, 32
14:03:32, 22
14:03:32, 0
14:03:32, 8
14:03:32, 39
14:03:32, 48
14:03:32, 22
14:03:32, -5
14:03:32, -8
14:03:32, 20
14:03:32, 67
14:03:32, 96
14:03:32, 86
14:03:32, 25
14:03:32, -60
14:03:32, -83
14:03:32, -28
14:03:32, 32
14:03:32, 71
14:03:32, 76
14:03:32, 73
14:03:32, 74
14:03:32, 72
14:03:32, 66
14:03:32, 61
14:03:32, 85
14:03:32, 102
14:03:32, 103
14:03:32, 96
14:03:32, 71
14:03:32, 44
14:03:32, 7
14:03:32, 5
14:03:32, 84
14:03:32, 161
14:03:32, 171
