Time, Value
17:35:38, 109
17:35:38, 137
17:35:38, 162
17:35:38, 154
17:35:38, 163
17:35:38, 196
17:35:38, 218
17:35:38, 201
17:35:38, 184
17:35:38, 177
17:35:38, 161
17:35:38, 131
17:35:38, 97
17:35:38, 73
17:35:38, 86
17:35:38, 84
17:35:38, 96
17:35:38, 113
17:35:38, 89
17:35:38, 115
17:35:38, 151
17:35:38, 146
17:35:38, 118
17:35:38, 98
17:35:38, 100
17:35:38, 128
17:35:38, 131
17:35:38, 97
17:35:38, 58
17:35:38, 27
17:35:38, 50
17:35:38, 98
17:35:38, 114
17:35:38, 105
17:35:38, 90
17:35:38, 49
17:35:38, 28
17:35:38, 37
17:35:38, 51
17:35:38, 83
17:35:38, 119
17:35:38, 115
17:35:38, 53
17:35:38, 10
17:35:38, 28
17:35:38, 60
17:35:38, 51
17:35:38, 20
17:35:38, 11
17:35:38, 16
17:35:38, 7
17:35:38, -25
17:35:38, -51
17:35:38, -52
17:35:38, -27
17:35:38, -1
17:35:38, -4
17:35:38, -2
17:35:38, 17
17:35:38, 69
17:35:38, 118
17:35:38, 119
17:35:38, 104
17:35:38, 88
17:35:38, 91
17:35:38, 112
17:35:38, 125
17:35:38, 98
17:35:38, 28
17:35:38, 16
17:35:38, 53
17:35:38, 87
17:35:38, 76
17:35:38, 84
17:35:38, 134
17:35:38, 186
17:35:38, 229
17:35:38, 176
17:35:38, 98
17:35:38, 83
17:35:38, 121
17:35:38, 155
17:35:38, 147
17:35:38, 101
17:35:38, 73
17:35:38, 97
17:35:38, 123
17:35:38, 136
17:35:38, 155
17:35:38, 186
17:35:38, 203
17:35:38, 228
17:35:38, 263
17:35:38, 260
17:35:38, 197
17:35:38, 150
17:35:38, 148
17:35:38, 170
17:35:38, 172
17:35:38, 130
17:35:38, 105
17:35:38, 118
17:35:38, 119
17:35:38, 105
17:35:38, 103
17:35:38, 101
17:35:38, 117
17:35:38, 131
17:35:38, 132
17:35:38, 106
17:35:38, 102
17:35:38, 146
17:35:38, 193
17:35:38, 228
17:35:38, 202
17:35:38, 156
17:35:38, 153
17:35:38, 182
17:35:38, 184
17:35:38, 177
17:35:38, 179
17:35:38, 183
17:35:38, 150
17:35:38, 115
17:35:38, 113
17:35:38, 104
17:35:38, 87
17:35:38, 67
17:35:38, 55
17:35:38, 51
17:35:38, 71
17:35:38, 86
17:35:38, 53
17:35:38, 37
17:35:38, 24
17:35:38, 17
17:35:38, 53
17:35:38, 132
17:35:38, 200
17:35:38, 203
17:35:38, 163
17:35:38, 134
17:35:38, 130
17:35:38, 139
17:35:38, 161
17:35:38, 195
17:35:38, 194
17:35:38, 171
17:35:38, 162
17:35:38, 151
17:35:38, 116
17:35:38, 109
17:35:38, 144
17:35:38, 151
17:35:38, 137
17:35:38, 107
17:35:38, 76
17:35:38, 84
17:35:38, 121
17:35:38, 138
17:35:38, 122
17:35:38, 109
17:35:38, 136
17:35:38, 165
17:35:38, 162
17:35:38, 102
17:35:38, 42
17:35:38, 57
17:35:38, 129
17:35:38, 154
17:35:38, 131
17:35:38, 117
17:35:38, 118
17:35:38, 112
17:35:38, 91
17:35:38, 83
17:35:38, 102
17:35:38, 120
17:35:38, 123
17:35:38, 91
17:35:38, 53
17:35:38, 25
17:35:38, 35
17:35:38, 75
17:35:38, 59
17:35:38, 33
17:35:38, 33
17:35:38, 27
17:35:38, 51
17:35:38, 114
17:35:38, 144
17:35:38, 117
17:35:38, 81
17:35:38, 86
17:35:38, 87
17:35:38, 69
17:35:38, 72
17:35:38, 99
17:35:38, 139
17:35:38, 167
17:35:38, 150
17:35:38, 152
17:35:38, 177
17:35:38, 210
17:35:38, 214
17:35:38, 187
17:35:38, 180
17:35:38, 172
17:35:38, 134
17:35:38, 96
17:35:38, 52
17:35:38, 12
17:35:38, 29
17:35:38, 75
17:35:38, 80
17:35:38, 39
17:35:38, -2
17:35:38, -3
17:35:38, 21
17:35:38, 39
17:35:38, 42
17:35:38, 22
17:35:38, -1
17:35:38, -14
17:35:38, -7
17:35:38, 6
17:35:38, -5
17:35:38, 20
17:35:38, 52
17:35:38, 70
17:35:38, 60
17:35:38, 19
17:35:38, -30
17:35:38, -34
17:35:38, 10
17:35:38, 56
17:35:38, 71
17:35:38, 43
17:35:38, 9
17:35:38, 1
17:35:38, 27
17:35:38, 42
17:35:38, 12
17:35:38, 22
17:35:38, 60
17:35:38, 72
17:35:38, 66
17:35:38, 65
17:35:38, 68
17:35:38, 72
17:35:38, 67
17:35:38, 40
17:35:38, 25
17:35:38, 2
17:35:38, 7
17:35:38, 70
17:35:38, 112
17:35:38, 84
17:35:38, 35
17:35:38, 9
17:35:38, 22
17:35:38, 25
17:35:38, -6
17:35:38, -49
17:35:38, -77
17:35:38, -109
17:35:38, -125
17:35:38, -106
17:35:38, -92
17:35:38, -109
17:35:38, -121
17:35:38, -102
17:35:38, -60
17:35:38, -5
17:35:38, 44
17:35:38, 72
17:35:38, 104
17:35:38, 121
17:35:38, 96
17:35:38, 76
17:35:38, 81
17:35:38, 82
17:35:38, 82
17:35:38, 86
17:35:38, 99
17:35:38, 102
17:35:38, 68
17:35:38, 10
17:35:38, -1
17:35:38, 23
17:35:38, 57
17:35:38, 88
17:35:38, 89
17:35:38, 42
17:35:38, 23
17:35:38, 50
17:35:38, 76
17:35:38, 72
17:35:38, 48
17:35:38, 27
17:35:38, 19
17:35:38, 43
17:35:38, 57
17:35:38, 41
17:35:38, 29
17:35:38, 33
17:35:38, 56
17:35:38, 73
17:35:38, 66
17:35:38, 76
17:35:38, 59
17:35:38, 37
17:35:38, 49
17:35:38, 49
17:35:38, 20
17:35:38, 17
17:35:38, 28
17:35:38, 10
17:35:38, 16
17:35:38, 56
17:35:38, 70
17:35:38, 59
17:35:38, 66
17:35:38, 84
17:35:38, 88
17:35:38, 64
17:35:38, 23
17:35:38, 2
17:35:38, -9
17:35:38, -30
17:35:39, -23
17:35:39, 8
17:35:39, 48
17:35:39, 25
17:35:39, 5
17:35:39, 23
17:35:39, 33
17:35:39, 25
17:35:39, 26
17:35:39, 40
17:35:39, 54
17:35:39, 42
17:35:39, 28
17:35:39, 18
17:35:39, 5
17:35:39, -17
17:35:39, 1
17:35:39, 73
17:35:39, 136
17:35:39, 128
17:35:39, 65
17:35:39, 20
17:35:39, 20
17:35:39, 16
17:35:39, -33
17:35:39, -59
