Time, Value
14:07:28, 56
14:07:28, 54
14:07:28, 72
14:07:28, 104
14:07:28, 106
14:07:28, 90
14:07:28, 92
14:07:28, 97
14:07:28, 114
14:07:28, 138
14:07:28, 137
14:07:28, 117
14:07:28, 107
14:07:28, 113
14:07:28, 112
14:07:28, 92
14:07:28, 99
14:07:28, 124
14:07:28, 148
14:07:28, 150
14:07:28, 138
14:07:28, 124
14:07:28, 116
14:07:28, 128
14:07:28, 155
14:07:28, 166
14:07:28, 148
14:07:28, 136
14:07:28, 151
14:07:28, 179
14:07:28, 187
14:07:28, 164
14:07:28, 139
14:07:28, 134
14:07:28, 150
14:07:28, 156
14:07:28, 130
14:07:28, 108
14:07:28, 117
14:07:28, 118
14:07:28, 97
14:07:28, 64
14:07:28, 53
14:07:28, 59
14:07:28, 71
14:07:28, 70
14:07:28, 55
14:07:28, 49
14:07:28, 56
14:07:28, 80
14:07:28, 104
14:07:28, 108
14:07:28, 103
14:07:28, 91
14:07:28, 82
14:07:28, 85
14:07:28, 64
14:07:28, 19
14:07:28, -9
14:07:28, 5
14:07:28, 37
14:07:28, 57
14:07:28, 48
14:07:28, 11
14:07:28, -2
14:07:28, 22
14:07:28, 67
14:07:28, 88
14:07:28, 84
14:07:28, 76
14:07:28, 75
14:07:28, 64
14:07:28, 44
14:07:28, 37
14:07:28, 28
14:07:28, 42
14:07:28, 68
14:07:28, 53
14:07:28, 22
14:07:28, 21
14:07:28, 36
14:07:28, 38
14:07:28, 24
14:07:28, 11
14:07:28, 4
14:07:28, 7
14:07:28, 23
14:07:28, 32
14:07:28, 2
14:07:28, -28
14:07:28, -25
14:07:28, 5
14:07:28, 20
14:07:28, 3
14:07:28, -18
14:07:28, -3
14:07:28, 25
14:07:28, 16
14:07:28, -18
14:07:28, -34
14:07:28, -24
14:07:28, -1
14:07:28, -7
14:07:28, -35
14:07:28, -49
14:07:28, -49
14:07:28, -34
14:07:28, -11
14:07:28, -11
14:07:28, -5
14:07:28, 20
14:07:28, 65
14:07:28, 92
14:07:28, 82
14:07:28, 49
14:07:28, 49
14:07:28, 67
14:07:28, 58
14:07:28, 26
14:07:28, -7
14:07:28, -27
14:07:28, -13
14:07:28, 12
14:07:28, 24
14:07:28, 21
14:07:28, 10
14:07:28, 17
14:07:28, 37
14:07:28, 32
14:07:28, 7
14:07:28, -8
14:07:28, -10
14:07:28, -3
14:07:28, -9
14:07:28, -27
14:07:28, -22
14:07:28, 9
14:07:28, 45
14:07:28, 67
14:07:28, 70
14:07:28, 54
14:07:28, 34
14:07:28, 13
14:07:28, -10
14:07:28, -29
14:07:28, -13
14:07:28, 24
14:07:28, 50
14:07:28, 42
14:07:28, 10
14:07:28, -29
14:07:28, -57
14:07:28, -35
14:07:28, 5
14:07:28, -5
14:07:28, -53
14:07:28, -81
14:07:28, -68
14:07:28, -39
14:07:28, -40
14:07:28, -44
14:07:28, -22
14:07:28, 17
14:07:28, 75
14:07:28, 116
14:07:28, 104
14:07:28, 86
14:07:28, 88
14:07:28, 92
14:07:28, 74
14:07:28, 52
14:07:28, 36
14:07:28, 35
14:07:28, 43
14:07:28, 40
14:07:28, 16
14:07:28, -5
14:07:28, -5
14:07:28, 5
14:07:28, 9
14:07:28, 8
14:07:28, -3
14:07:28, -7
14:07:28, 13
14:07:28, 23
14:07:28, -11
14:07:28, -43
14:07:28, -33
14:07:28, -13
14:07:28, 6
14:07:28, 7
14:07:28, -8
14:07:28, -2
14:07:28, 24
14:07:28, 42
14:07:28, 26
14:07:28, -13
14:07:28, -21
14:07:28, 2
14:07:28, 28
14:07:28, 40
14:07:28, 49
14:07:28, 75
14:07:28, 103
14:07:28, 97
14:07:28, 69
14:07:28, 56
14:07:28, 66
14:07:28, 80
14:07:28, 98
14:07:28, 89
14:07:28, 58
14:07:28, 40
14:07:28, 51
14:07:28, 66
14:07:28, 80
14:07:28, 73
14:07:28, 56
14:07:28, 57
14:07:28, 89
14:07:28, 134
14:07:28, 136
14:07:28, 89
14:07:28, 49
14:07:28, 44
14:07:28, 52
14:07:28, 56
14:07:28, 66
14:07:28, 66
14:07:28, 69
14:07:28, 83
14:07:28, 84
14:07:28, 70
14:07:28, 52
14:07:28, 53
14:07:28, 58
14:07:28, 53
14:07:28, 49
14:07:28, 59
14:07:28, 80
14:07:28, 69
14:07:28, 40
14:07:28, 34
14:07:28, 40
14:07:28, 49
14:07:28, 60
14:07:28, 86
14:07:28, 88
14:07:28, 50
14:07:28, 10
14:07:28, -4
14:07:28, -11
14:07:28, -33
